Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"32704";"LAMA ROSSELLA";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"27410";"FERRI MARIARAFFAELLA";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"27481";"ZACCHIROLI BENEDETTO";07/06/2011;"PARTITO DEMOCRATICO";"P";7;70 
"32794";"MIGNANI MARIANNA";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"22034";"GHETTI MAURIZIO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"33977";"BENASSI MARZIA";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"33978";"ERRANI FRANCESCO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"27197";"MELEGA CORRADO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"9097";"PETRELLA TOMMASO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"33979";"LA TORRE CATHY";07/06/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;70 
"33980";"PIERALISI MIRCO";07/06/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;80 
"26392";"CIPRIANI LORENZO";07/06/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;80 
"33987";"SAZZINI LORENZO";07/06/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;70 
"32714";"CAVIANO PASQUALE";07/06/2011;"ITALIA DEI VALORI";"P";8;80 
"21843";"LISEI MARCO";07/06/2011;"POPOLO DELLA LIBERTA'";"P";8;80 
"27208";"TOMASSINI LORENZO";07/06/2011;"POPOLO DELLA LIBERTA'";"P";8;80 
"32712";"FACCI MICHELE";07/06/2011;"POPOLO DELLA LIBERTA'";"P";8;80 
"27997";"CASTALDINI VALENT.";07/06/2011;"POPOLO DELLA LIBERTA'";"P";8;80 
"8904";"CARELLA DANIELE";07/06/2011;"POPOLO DELLA LIBERTA'";"P";8;80 
"20144";"GATTUSO PATRIZIO G.";07/06/2011;"POPOLO DELLA LIBERTA'";"P";7;70 
"32719";"BERNARDINI MANES";07/06/2011;"LEGA NORD";"P";8;80 
"33981";"COCCONCELLI MIRKA";07/06/2011;"LEGA NORD";"P";8;80 
"33982";"SCARANO PAOLA F.";07/06/2011;"LEGA NORD";"P";8;80 
"33983";"BORGONZONI LUCIA";07/06/2011;"LEGA NORD";"P";8;80 
"33984";"BUGANI MASSIMO";07/06/2011;"MOVIMENTO 5 STELLE";"P";8;80 
"32861";"SALSI FEDERICA";07/06/2011;"MOVIMENTO 5 STELLE";"P";8;80 
"33985";"PIAZZA MARCO";07/06/2011;"MOVIMENTO 5 STELLE";"P";8;80 
"33986";"ALDROVANDI STEFANO";07/06/2011;"BOLOGNA 2016";"P";8;80 
"16863";"MEROLA VIRGINIO";07/10/2011;"SINDACO";"A";0;0  
